video,total_frames,both_hands,both_hands_pct,left_only,left_only_pct,right_only,right_only_pct,no_hands,no_hands_pct,flicker_left,flicker_right,flicker_total,wrist_jitter,quality
00001,555,246,44.32432432432433,103,18.55855855855856,76,13.693693693693692,130,23.423423423423422,73,46,119,0.00612514466047287,Acceptable
00002,325,281,86.46153846153845,29,8.923076923076923,13,4.0,2,0.6153846153846154,7,15,22,0.0034600882790982723,Acceptable
00003,837,471,56.272401433691755,180,21.50537634408602,119,14.217443249701315,67,8.004778972520908,55,44,99,0.010620631277561188,Acceptable
00004,562,359,63.879003558718864,94,16.72597864768683,62,11.032028469750891,47,8.362989323843415,51,51,102,0.010491305962204933,Acceptable
00005,595,489,82.18487394957982,21,3.5294117647058822,57,9.57983193277311,28,4.705882352941177,48,9,57,0.003932226914912462,Acceptable
00006,549,402,73.224043715847,21,3.825136612021858,53,9.65391621129326,73,13.296903460837886,34,21,55,0.003671337151899934,Acceptable
00007,662,479,72.35649546827794,34,5.13595166163142,94,14.19939577039275,55,8.308157099697885,26,23,49,0.007114616222679615,Acceptable
00008,537,258,48.04469273743017,41,7.635009310986965,115,21.415270018621975,123,22.905027932960895,85,23,108,0.006096729077398777,Acceptable
00009,896,461,51.45089285714286,134,14.955357142857142,166,18.526785714285715,135,15.066964285714285,125,71,196,0.007507351692765951,Acceptable
00010,665,368,55.338345864661655,107,16.090225563909772,163,24.51127819548872,27,4.06015037593985,75,46,121,0.006095114164054394,Acceptable
00011,669,320,47.832585949177876,113,16.89088191330344,157,23.467862481315397,79,11.80866965620329,125,94,219,0.009699700400233269,Acceptable
00012,415,177,42.65060240963855,47,11.325301204819278,110,26.506024096385545,81,19.518072289156628,48,45,93,0.008088506758213043,Acceptable
00013,423,283,66.903073286052,24,5.673758865248227,110,26.004728132387704,6,1.4184397163120568,57,30,87,0.0068099042400717735,Acceptable
00014,376,129,34.308510638297875,152,40.42553191489361,32,8.51063829787234,63,16.75531914893617,23,9,32,0.0047844708897173405,Acceptable
00015,494,198,40.08097165991903,130,26.31578947368421,49,9.919028340080972,117,23.684210526315788,49,47,96,0.007059902418404818,Acceptable
00016,565,266,47.07964601769912,74,13.097345132743362,202,35.75221238938053,23,4.070796460176991,71,57,128,0.010183126665651798,Acceptable
00017,729,361,49.519890260631,87,11.934156378600823,173,23.73113854595336,108,14.814814814814813,49,40,89,0.004154342692345381,Acceptable
00018,651,390,59.907834101382484,57,8.755760368663594,125,19.201228878648234,79,12.135176651305683,109,44,153,0.00864378735423088,Acceptable
00019,768,415,54.036458333333336,94,12.239583333333332,164,21.354166666666664,95,12.369791666666668,115,44,159,0.007319141644984484,Acceptable
